zillow_region_id,fhfa_cbsa,period,zhvi_usd
394299,10180,2009-01,114024.08204617444
394299,10180,2009-02,113942.6143864849
394299,10180,2009-03,114004.10164754005
394299,10180,2009-04,113992.90244913353
394299,10180,2009-05,114071.52291314733
394299,10180,2009-06,113981.1420248736
394299,10180,2009-07,113956.60022209531
394299,10180,2009-08,113920.72530728953
394299,10180,2009-09,113617.6715940842
394299,10180,2009-10,113156.95635121867
394299,10180,2009-11,112584.13432368787
394299,10180,2009-12,112455.5240931202
394299,10180,2010-01,112626.3672357705
394299,10180,2010-02,112921.71689331713
394299,10180,2010-03,113169.29782318945
394299,10180,2010-04,113213.05621874501
394299,10180,2010-05,113241.2706360538
394299,10180,2010-06,113227.97731991201
394299,10180,2010-07,113237.93070335244
394299,10180,2010-08,113265.99595252493
394299,10180,2010-09,112992.82759727753
394299,10180,2010-10,112630.54661537321
394299,10180,2010-11,112029.47626789182
394299,10180,2010-12,111658.16958985203
394299,10180,2011-01,111138.78368984959
394299,10180,2011-02,110779.36632604268
394299,10180,2011-03,110325.42535589752
394299,10180,2011-04,110042.39172333857
394299,10180,2011-05,109712.0364864792
394299,10180,2011-06,109455.89499433355
394299,10180,2011-07,109275.16135172012
394299,10180,2011-08,108740.10725123216
394299,10180,2011-09,108352.70080904402
394299,10180,2011-10,107975.80126230145
394299,10180,2011-11,108156.88111826118
394299,10180,2011-12,108445.07164066801
394299,10180,2012-01,108801.59357909253
394299,10180,2012-02,109282.13224254803
394299,10180,2012-03,109602.71907713382
394299,10180,2012-04,110027.64086508285
394299,10180,2012-05,110421.65433334924
394299,10180,2012-06,110847.33363999687
394299,10180,2012-07,111197.86626228919
394299,10180,2012-08,111644.23456677546
394299,10180,2012-09,112295.32595709455
394299,10180,2012-10,112657.22518542974
394299,10180,2012-11,112365.47428971967
394299,10180,2012-12,111847.56741750106
394299,10180,2013-01,111918.41830664781
394299,10180,2013-02,112480.53919404151
394299,10180,2013-03,113172.23778070601
394299,10180,2013-04,113591.1096306158
394299,10180,2013-05,113891.41743362237
394299,10180,2013-06,114307.02618471089
394299,10180,2013-07,114689.39326693928
394299,10180,2013-08,115573.68950001076
394299,10180,2013-09,116393.82357357848
394299,10180,2013-10,117003.88268679388
394299,10180,2013-11,116982.71840686619
394299,10180,2013-12,116926.24545644026
394299,10180,2014-01,117403.72788770695
394299,10180,2014-02,118291.65845517663
394299,10180,2014-03,119090.63878181118
394299,10180,2014-04,119712.07748785139
394299,10180,2014-05,120130.89977089253
394299,10180,2014-06,120799.74119654209
394299,10180,2014-07,121562.79837094907
394299,10180,2014-08,122706.36845999236
394299,10180,2014-09,123466.18276773382
394299,10180,2014-10,123817.36421813886
394299,10180,2014-11,123708.64924165922
394299,10180,2014-12,123609.32309874233
394299,10180,2015-01,123644.57971806264
394299,10180,2015-02,123938.3598193594
394299,10180,2015-03,124490.62413444783
394299,10180,2015-04,125104.06437233998
394299,10180,2015-05,125589.99872155307
394299,10180,2015-06,126020.40585186053
394299,10180,2015-07,126634.63450240524
394299,10180,2015-08,127679.79518724182
394299,10180,2015-09,128951.94983083114
394299,10180,2015-10,130008.17816840258
394299,10180,2015-11,130364.95639331568
394299,10180,2015-12,130447.05091560808
394299,10180,2016-01,130714.44277311578
394299,10180,2016-02,131277.6929737327
394299,10180,2016-03,131712.0765843388
394299,10180,2016-04,132153.96275937548
394299,10180,2016-05,132681.21927997042
