fhfa_cbsa,period,hpi_all_transactions_nsa
10420,1990Q1,79.23
10420,1990Q2,78.51
10420,1990Q3,80.63
10420,1990Q4,80.68
10420,1991Q1,81.95
10420,1991Q2,83.05
10420,1991Q3,84.03
10420,1991Q4,84.87
10420,1992Q1,86.9
10420,1992Q2,87.33
10420,1992Q3,89.09
10420,1992Q4,90.11
10420,1993Q1,91.04
10420,1993Q2,91.98
10420,1993Q3,93.76
10420,1993Q4,95.32
10420,1994Q1,95.63
10420,1994Q2,96.72
10420,1994Q3,98.59
10420,1994Q4,98.52
10420,1995Q1,100
10420,1995Q2,101.46
10420,1995Q3,103.32
10420,1995Q4,104.62
10420,1996Q1,107.08
10420,1996Q2,107.27
10420,1996Q3,108.29
10420,1996Q4,109.94
10420,1997Q1,110.9
10420,1997Q2,111.87
10420,1997Q3,114.09
10420,1997Q4,115.32
10420,1998Q1,117.35
10420,1998Q2,118.39
10420,1998Q3,119.69
10420,1998Q4,121.19
10420,1999Q1,122.22
10420,1999Q2,123.51
10420,1999Q3,123.68
10420,1999Q4,124.03
10420,2000Q1,124.1
10420,2000Q2,125.86
10420,2000Q3,127.99
10420,2000Q4,129.37
10420,2001Q1,132.12
10420,2001Q2,133.35
10420,2001Q3,134.41
10420,2001Q4,136.28
10420,2002Q1,136.75
10420,2002Q2,136.98
10420,2002Q3,138.76
10420,2002Q4,139.81
10420,2003Q1,140.71
10420,2003Q2,141.55
10420,2003Q3,142.95
10420,2003Q4,143.2
10420,2004Q1,144.47
10420,2004Q2,145.39
10420,2004Q3,146.1
10420,2004Q4,147.48
10420,2005Q1,148.89
10420,2005Q2,150.05
10420,2005Q3,151.58
10420,2005Q4,151.95
10420,2006Q1,152.63
10420,2006Q2,149.95
10420,2006Q3,149.05
10420,2006Q4,150.89
10420,2007Q1,150.15
10420,2007Q2,148.37
10420,2007Q3,146.8
10420,2007Q4,146.38
10420,2008Q1,147.1
10420,2008Q2,145.32
10420,2008Q3,140.89
10420,2008Q4,140.63
10420,2009Q1,143.93
10420,2009Q2,140.14
10420,2009Q3,137.45
10420,2009Q4,137.51
10420,2010Q1,135.11
10420,2010Q2,135
10420,2010Q3,136.42
10420,2010Q4,135.84
10420,2011Q1,132.32
10420,2011Q2,128.78
10420,2011Q3,130.17
10420,2011Q4,129.66
10420,2012Q1,126.58
10420,2012Q2,126.15
10420,2012Q3,127.19
10420,2012Q4,127.97
10420,2013Q1,127.75
10420,2013Q2,128.32
10420,2013Q3,128.7
10420,2013Q4,129.55
10420,2014Q1,127.96
10420,2014Q2,131.46
10420,2014Q3,134.2
10420,2014Q4,133.59
10420,2015Q1,134.02
10420,2015Q2,137.62
10420,2015Q3,135.79
10420,2015Q4,139.54
10420,2016Q1,137.87
10420,2016Q2,140.82
10420,2016Q3,142.27
10420,2016Q4,141.78
10420,2017Q1,142.16
10420,2017Q2,146
10420,2017Q3,147.17
10420,2017Q4,148.92
10420,2018Q1,150.4
10420,2018Q2,151.77
10420,2018Q3,156.58
10420,2018Q4,154.5
10420,2019Q1,156.77
10420,2019Q2,160.12
10420,2019Q3,162.15
10420,2019Q4,163.87
10420,2020Q1,165.81
10420,2020Q2,166.99
10420,2020Q3,171.18
10420,2020Q4,175.51
10420,2021Q1,178.05
10420,2021Q2,186.06
10420,2021Q3,196.46
10420,2021Q4,200.28
10420,2022Q1,205.9
10420,2022Q2,217.55
10420,2022Q3,222.44
10420,2022Q4,219.21
10420,2023Q1,218.33
10420,2023Q2,228.77
10420,2023Q3,236.11
10420,2023Q4,237.83
10420,2024Q1,238.08
10420,2024Q2,252.34
10420,2024Q3,251.9
10420,2024Q4,254.27
10420,2025Q1,257.54
10420,2025Q2,263.35
10420,2025Q3,266.05
10420,2025Q4,268.45
10420,2026Q1,269.88
