zillow_region_id,fhfa_cbsa,period,zori_usd_month
394299,10180,2015-01,792.1021649169278
394299,10180,2015-02,794.240975891914
394299,10180,2015-03,792.688711897483
394299,10180,2015-04,793.0774403180775
394299,10180,2015-05,800.9941180850794
394299,10180,2015-06,808.3400863149178
394299,10180,2015-07,810.2382625363815
394299,10180,2015-08,807.9067918724207
394299,10180,2015-09,806.3102552838486
394299,10180,2015-10,806.618415702785
394299,10180,2015-11,810.2071214608137
394299,10180,2015-12,811.2289723982243
394299,10180,2016-01,811.9346842475582
394299,10180,2016-02,812.7505975619393
394299,10180,2016-03,811.3485392883734
394299,10180,2016-04,818.6339781005182
394299,10180,2016-05,817.6610140450621
394299,10180,2016-06,823.7036239238217
394299,10180,2016-07,821.4181807691663
394299,10180,2016-08,821.1237475717098
394299,10180,2016-09,822.5250030566563
394299,10180,2016-10,824.2723966311464
394299,10180,2016-11,824.2203739155815
394299,10180,2016-12,819.6657006074083
394299,10180,2017-01,819.2903164471361
394299,10180,2017-02,825.942921694303
394299,10180,2017-03,840.0082244513515
394299,10180,2017-04,848.9143800584401
394299,10180,2017-05,857.2281751834104
394299,10180,2017-06,860.6854595497587
394299,10180,2017-07,860.2454723547146
394299,10180,2017-08,857.9130586511274
394299,10180,2017-09,852.4512436093822
394299,10180,2017-10,856.4529478823335
394299,10180,2017-11,855.3421177633701
394299,10180,2017-12,862.15061097031
394299,10180,2018-01,864.5051209400834
394299,10180,2018-02,871.9629139652878
394299,10180,2018-03,872.0039586345379
394299,10180,2018-04,874.5622602415193
394299,10180,2018-05,879.3059273078968
394299,10180,2018-06,889.347511542132
394299,10180,2018-07,893.0548975270609
394299,10180,2018-08,895.5123071734806
394299,10180,2018-09,890.9468751681071
394299,10180,2018-10,889.7173480308894
394299,10180,2018-11,889.4252750031662
394299,10180,2018-12,894.3932658054894
394299,10180,2019-01,896.0230754096935
394299,10180,2019-02,898.2714789267535
394299,10180,2019-03,905.1993970362057
394299,10180,2019-04,915.2112030213173
394299,10180,2019-05,926.0017280018304
394299,10180,2019-06,931.2959735106942
394299,10180,2019-07,932.5674940017477
394299,10180,2019-08,931.7236049602682
394299,10180,2019-09,926.9141324994629
394299,10180,2019-10,933.9150094963305
394299,10180,2019-11,932.9731129885275
394299,10180,2019-12,940.9449251249347
394299,10180,2020-01,936.1644694791539
394299,10180,2020-02,946.3409279984752
394299,10180,2020-03,952.164837395484
394299,10180,2020-04,959.8684923612524
394299,10180,2020-05,961.3789179929117
394299,10180,2020-06,968.4368640009615
394299,10180,2020-07,975.8457547209938
394299,10180,2020-08,981.8240049309009
394299,10180,2020-09,983.6145407386081
394299,10180,2020-10,990.7260273611319
394299,10180,2020-11,995.0688945583387
394299,10180,2020-12,1001.9391688350378
394299,10180,2021-01,1009.9570661691803
394299,10180,2021-02,1012.3728560986859
394299,10180,2021-03,1024.660268103212
394299,10180,2021-04,1027.1502704622987
394299,10180,2021-05,1040.3645592977916
394299,10180,2021-06,1041.7812059516175
394299,10180,2021-07,1055.0836440150495
394299,10180,2021-08,1072.0472262566052
394299,10180,2021-09,1085.6758108910929
