date,price,dividend,earnings,cpi,gs10,realPrice,realDividend,realTotalReturnPrice,realEarnings,cape
1871-01,4.44,0.26,0.4,12.46406116,5.32,119.94077137535484,7.0235586841424,119.94077137535484,10.805474898680616,
1871-02,4.5,0.26,0.4,12.84464132,5.323333333333333,117.95978472678753,6.815454228658835,118.52773924584244,10.48531419793667,
1871-03,4.61,0.26,0.4,13.0349719,5.326666666666667,119.07874941410499,6.715938144830216,120.21444771952243,10.332212530508025,
1871-04,4.74,0.26,0.4,12.55922645,5.33,127.0746404130646,6.970338925611138,128.87299997368297,10.723598347094061,
1871-05,4.86,0.26,0.4,12.27381157,5.333333333333334,133.32152002395455,7.132426997166292,135.8110658097574,10.972964611025066,
1871-06,4.82,0.26,0.4,12.08348099,5.336666666666667,134.3069274775265,7.244772021609312,137.42987864135927,11.145803110168174,
1871-07,4.73,0.26,0.4,12.08348099,5.34,131.79912177773866,7.244772021609312,135.48152973945895,11.145803110168174,
1871-08,4.79,0.26,0.4,11.8932314,5.343333333333334,135.60605551658568,7.3606627211507885,140.02535384787862,11.324096494078137,
1871-09,4.84,0.26,0.4,12.17864628,5.346666666666668,133.8103737092855,7.188160571159965,138.78968690658502,11.058708571015334,
1871-10,4.59,0.26,0.4,12.36889587,5.3500000000000005,124.9468152810959,7.077597379757067,130.20804752943786,10.888611353472411,
1871-11,4.64,0.26,0.4,12.36889587,5.3533333333333335,126.30789170027994,7.077597379757067,132.24107078425476,10.888611353472411,
1871-12,4.74,0.26,0.4,12.65439174,5.3566666666666665,126.11899629717011,6.917919628114816,132.64687568320704,10.642953274022796,
1872-01,4.86,0.2633,0.4025,12.65439174,5.36,129.31188227937696,7.005723992625503,136.61905260569662,10.709471731985438,
1872-02,4.88,0.2667,0.405,12.65439174,5.378333333333333,129.84402994307808,7.096189095454697,137.80603604114424,10.775990189948079,
1872-03,5.04,0.27,0.4075,12.84464132,5.3966666666666665,132.11495889400203,7.077587083607253,140.8421830920179,10.681913839147981,
